gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
grantlee 5.2.0-3
grantlee-editor 22.04.3-1
grantleetheme 22.04.3-1
graphene 1.10.8-1
graphite 1:1.3.14-2
graphviz 5.0.0-1
grep 3.7-1
groff 1.22.4-7
grub 2:2.06.r261.g2f4430cc0-1
grub-theme-cyberre 1.0.0-2
gsettings-desktop-schemas 42.0-1
gsfonts 20200910-2
gsl 2.7.1-1
gsm 1.0.21-1
gsound 1.0.3-2
gssdp 1.4.0.1-1
gst-libav 1.20.3-1
gst-plugins-bad-libs 1.20.3-1
gst-plugins-base 1.20.3-1
gst-plugins-base-libs 1.20.3-1
gst-plugins-good 1.20.3-1
gstreamer 1.20.3-1
gtk-doc 1.33.2-1
gtk-update-icon-cache 1:4.6.6-1
gtk-vnc 1.3.1-1
gtk2 2.24.33-2
gtk3 1:3.24.34-1
gtk4 1:4.6.6-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.6-1
gtksourceview4 4.8.3-1
gts 0.7.6.121130-2
gucharmap 14.0.3-1
guile 2.2.7-2
gupnp 1:1.4.3-1
gupnp-igd 1.2.0-2
gvfs 1.50.2-1
gwenview 22.04.3-1
gzip 1.12-1
harfbuzz 5.1.0-1
harfbuzz-icu 5.1.0-1
hdf5 1.12.2-1
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
hollywood 1.21-6
htop 3.2.1-1
http-parser 2.9.4-1
httpry 0.1.8-1
hunspell 1.7.0-4
hwdata 0.361-1
hwloc 2.8.0-1
hyphen 2.8.8-4
i2c-ch341-dkms 20210501-1
i3-gaps 4.20.1-2
i3status 2.14-1
iana-etc 20220603-1
icoutils 0.32.3-3
icu 71.1-1
id3lib 3.8.3-18
ijs 0.35-4
imagemagick 7.1.0.45-1
imake 1.0.8-4
imath 3.1.5-2
imlib2 1.9.1-1
incidenceeditor 22.04.3-1
inetutils 2.2-1
iniparser 4.1-4
intltool 0.51.0-6
iproute2 5.19.0-1
iptables 1:1.8.8-2
iputils 20211215-1
irssi 1.2.3-3
iso-codes 4.11.0-1
itch 1:1.26.0-2
itinerary 22.04.3-1
itstool 1:2.0.7-1
jack2 1.9.21-1
jansson 2.14-2
jasper 3.0.6-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk-openjdk 18.0.2.u9-1
jemalloc 1:5.3.0-1
jp2a 1.1.1-1
jq 1.6-4
jre-openjdk 18.0.2.u9-1
jre-openjdk-headless 18.0.2.u9-1
jre8-openjdk 8.345.u01-1
jre8-openjdk-headless 8.345.u01-1
js78 78.15.0-4
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
kaccounts-integration 22.04.3-1
kaccounts-providers 22.04.3-1
kactivities 5.96.0-1
kactivities-stats 5.96.0-1
kactivitymanagerd 5.25.4-1
kaddressbook 22.04.3-1
kalarmcal 21.12.3-1
kamera 22.04.3-1
kapptemplate 22.04.3-1
karchive 5.96.0-1
kauth 5.96.0-1
kbackup 22.04.3-1
kbd 2.5.1-1
kbookmarks 5.96.0-1
kcachegrind 22.04.3-1
kcachegrind-common 22.04.3-1
kcalc 22.04.3-1
kcalendarcore 5.96.0-1
kcalutils 22.04.3-1
kcharselect 22.04.3-1
kcm-wacomtablet 1:3.2.0-5
kcmutils 5.96.0-1
kcodecs 5.96.0-1
kcolorchooser 22.04.3-1
kcolorpicker 0.2.0-1
kcompletion 5.96.0-1
kconfig 5.96.0-1
kconfigwidgets 5.96.0-1
kcontacts 1:5.96.0-1
kcoreaddons 5.96.0-1
kcrash 5.96.0-1
kcron 22.04.3-1
kdav 1:5.96.0-1
kdbusaddons 5.96.0-1
kde-cli-tools 5.25.4-1
kde-dev-scripts 22.04.3-1
kde-dev-utils 22.04.3-1
kde-gtk-config 5.25.4-1
kdebugsettings 22.04.3-1
kdeclarative 5.96.0-1
kdeconnect 22.04.3-1
kdecoration 5.25.4-1
kded 5.96.0-1
kdegraphics-mobipocket 22.04.3-1
kdegraphics-thumbnailers 22.04.3-1
kdelibs4support 5.96.0-1
kdenetwork-filesharing 22.04.3-1
kdenlive 22.04.3-1
kdepim-addons 22.04.3-1
kdepim-runtime 22.04.3-1
kdeplasma-addons 5.25.4-1
kdesdk-kioslaves 22.04.3-1
kdesdk-thumbnailers 22.04.3-1
kdesu 5.96.0-1
kdf 22.04.3-1
kdiagram 2.8.0-1
kdialog 22.04.3-1
kdnssd 5.96.0-1
kdoctools 5.96.0-1
kdsoap 2.0.0-1
kdsoap-ws-discovery-client git20200927-2
keditbookmarks 22.04.3-1
kemoticons 5.96.0-1
keyutils 1.6.3-1
kfilemetadata 5.96.0-1
kfind 22.04.3-1
kfloppy 22.04.3-1
kgamma5 5.25.4-1
kglobalaccel 5.96.0-1
kgpg 22.04.3-1
kguiaddons 5.96.0-1
khealthcertificate 22.06-1
khelpcenter 22.04.3-1
kholidays 1:5.96.0-1
khotkeys 5.25.4-1
khtml 5.96.0-1
ki18n 5.96.0-1
kiconthemes 5.96.0-1
kidentitymanagement 22.04.3-1
kidletime 5.96.0-1
kimageannotator 0.6.0-1
kimap 22.04.3-1
kinfocenter 5.25.4-1
kinit 5.96.0-1
kio 5.96.0-1
kio-extras 22.04.3-1
kio-fuse 5.0.1-1
kio-gdrive 22.04.3-1
kipi-plugins 22.04.0-1
kipi-plugins-debug 22.04.0-1
kirigami-gallery 22.04.3-1
kirigami2 5.96.0-1
kitemmodels 5.96.0-1
kitemviews 5.96.0-1
kitinerary 22.04.3-2
kitty 0.25.2-1
kitty-shell-integration 0.25.2-1
kitty-terminfo 0.25.2-1
kjobwidgets 5.96.0-1
kjs 5.96.0-1
kldap 22.04.3-1
kleopatra 22.04.3-1
kmail-account-wizard 22.04.3-1
kmailtransport 22.04.3-1
kmbox 22.04.3-1
kmenuedit 5.25.4-1
kmime 22.04.3-1
kmod 30-1
kmousetool 22.04.3-1
knewstuff 5.96.0-1
knotifications 5.96.0-1
knotifyconfig 5.96.0-1
kompare 22.04.3-1
konsole 22.04.3-1
kontactinterface 22.04.3-1
kontrast 22.04.3-1
kopeninghours 22.04.3-1
korganizer 22.04.3-1
kosmindoormap 22.04.3-1
kpackage 5.96.0-1
kparts 5.96.0-1
kpeople 5.96.0-1
kpeoplevcard 0.1-1
kpimtextedit 22.04.3-1
kpkpass 22.04.3-1
kpmcore 22.04.3-1
kpty 5.96.0-1
kpublictransport 22.04.3-1
kquickcharts 5.96.0-1
krb5 1.19.3-3
krita 5.0.8-1
kross 5.96.0-1
kross-interpreters 21.08.3-1
kruler 22.04.3-1
krunner 5.96.0-1
kscreen 5.25.4-1
kscreenlocker 5.25.4-1
kservice 5.96.0-1
ksmtp 22.04.3-1
ksshaskpass 5.25.4-1
ksystemlog 22.04.3-1
ksystemstats 5.25.4-1
ktexteditor 5.96.0-1
ktextwidgets 5.96.0-1
ktnef 22.04.3-1
kunitconversion 5.96.0-1
kuserfeedback 1.2.0-1
kwallet 5.96.0-1
kwallet-pam 5.25.4-1
kwalletmanager 22.04.3-1
kwave 22.04.3-1
kwayland 5.96.0-1
kwayland-integration 5.25.4-1
kwidgetsaddons 5.96.0-1
kwin 5.25.4-1
kwindowsystem 5.96.0-1
kwrited 5.25.4-1
kxmlgui 5.96.0-1
l-smash 2.14.5-2
lame 3.100-4
lapack 3.10.1-1
layer-shell-qt 5.25.4-1
lazygit 0.35-1
lcms2 2.13.1-1
ldb 2:2.5.2-2
ldns 1.8.1-1
lensfun 1:0.3.3-1
less 1:590-1
lib32-acl 2.3.1-1
lib32-alsa-lib 1.2.7.2-1
lib32-alsa-plugins 1.2.7.1-1
lib32-amdvlk 2022.Q3.1-1
lib32-at-spi2-atk 2.38.0-2
lib32-at-spi2-core 2.44.1-1
lib32-atk 2.38.0-1
lib32-attr 2.5.1-1
lib32-brotli 1.0.9-4
lib32-bzip2 1.0.8-2
lib32-cairo 1.17.6-2
lib32-colord 1.4.6-1
lib32-curl 7.84.0-1
lib32-dbus 1.14.0-1
lib32-e2fsprogs 1.46.5-1
lib32-expat 2.4.8-1
lib32-faudio 22.07-1
lib32-flac 1.3.4-3
lib32-fontconfig 2:2.14.0-1
